protein	whole.name	biological.process.function	protein.type.	RNA.type	localization	description	yORF	binds.to.constructs	compartment	go_rna_bind	pfam	hsapiens_hom	h_pfam	h_go_bind	h_go_rel	Parker	Gerber	Merve	KOhaploid	overexp	r1 filter	r1+1 filter	rpuf3 filter
BCK1	Bypass of C Kinase	MAP kinase kinase kinase activity	enzyme			"MAPKKK acting in the protein kinase C signaling pathway; the kinase C signaling pathway controls cell integrity; upon activation by Pkc1p phosphorylates downstream kinases Mkk1p and Mkk2p; MAPKKK is an acronym for mitogen-activated protein (MAP) kinase kinase kinase"	YJL095W	1	cytoplasm	FALSE		"MAP3K6;MAP3K19;MAP3K15;MAP3K1;MAP3K14;MAP3K8;MAP3K2;MAP3K3;MAP3K5"		FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
BCP1		protein export from nucleus 	cell transport			"Essential protein involved in nuclear export of Mss4p; Mss4p is a lipid kinase that generates phosphatidylinositol 4,5-biphosphate and plays a role in actin cytoskeleton organization and vesicular transport"	YDR361C	3	nucleus, cytoplasm	FALSE				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
BDF1	BromoDomain Factor	chromatin binding 	transcription level			"Protein involved in transcription initiation; functions at TATA-containing promoters; associates with the basal transcription factor TFIID; contains two bromodomains; corresponds to the C-terminal region of mammalian TAF1; redundant with Bdf2p; BDF1 has a paralog, BDF2, that arose from the whole genome duplication"	YLR399C	79	nucleus	FALSE		"EP300;BRD3;BRDT;CREBBP;BRD2;BRD4"		FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE
BDF2	BromoDomain Factor	chromatin binding 	transcription level			"Protein involved in transcription initiation; acts at TATA-containing promoters; associates with the basal transcription factor TFIID; contains two bromodomains; corresponds to the C-terminal region of mammalian TAF1; redundant with Bdf1p; protein abundance increases in response to DNA replication stress; BDF2 has a paralog, BDF1, that arose from the whole genome duplication"	YDL070W	5	nucleus, cytoplasm	FALSE		"EP300;BRD3;BRDT;CREBBP;BRD2;BRD4"		FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE
BFR1	BreFeldin A Resistance	mRNA binding				"Component of mRNP complexes associated with polyribosomes; involved in localization of mRNAs to P bodies; implicated in secretion and nuclear segregation; multicopy suppressor of BFA (Brefeldin A) sensitivity"	YOR198C	59		TRUE				FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
BMT5	Base Methyltransferase of Twenty five S rRNA 5 	rRNA base methylation 	ribosomal	rRNA		"Methyltransferase required for m3U2634 methylation of the 25S rRNA; S-adenosylmethionine-dependent; associates with precursors of the 60S ribosomal subunit; predicted to be involved in ribosome biogenesis"	YIL096C	32	nucleus, nucleolus	FALSE				FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE
BRE1	BREfeldin A sensitivity	histone ubiquitination	enzyme			"E3 ubiquitin ligase; forms heterodimer with Rad6p to regulate K63 polyubiquitination in response to oxidative stress and to monoubiquinate histone H2B-K123, which is required for the subsequent methylation of histone H3-K4 and H3-K79; required for DSBR, transcription, silencing, and checkpoint control; interacts with RNA-binding protein Npl3p, linking histone ubiquitination to mRNA processing; Bre1p-dependent histone ubiquitination promotes pre-mRNA splicing"	YDL074C	1	nucleus	FALSE		"RNF20;RNF40"		FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE
BRX1	Xenopus laevis Brix (Biogenesis of Ribosomes in Xenopus) homolog	ribosomal large subunit assembly	ribosomal	rRNA		"Nucleolar protein; constituent of 66S pre-ribosomal particles; depletion leads to defects in rRNA processing and a block in the assembly of large ribosomal subunits; possesses a sigma(70)-like RNA-binding motif"	YOL077C	10	nucleus, nucleolus	FALSE	Brix	BRIX1	Brix	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
BUD21	BUD site selection	snoRNA binding	ribosomal	rRNA		"Component of small ribosomal subunit (SSU) processosome; this complex contains U3 snoRNA; required at post-transcriptional step for efficient retrotransposition; absence results in decreased Ty1 Gag:GFP protein levels; originally isolated as bud-site selection mutant that displays a random budding pattern"	YOR078W	1	nucleus, nucleolus	FALSE	U3_snoRNA_assoc			FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE
BUD22	BUD site selection	ribosomal small subunit biogenesis 	ribosomal	rRNA		"Protein required for rRNA maturation and ribosomal subunit biogenesis; required for 18S rRNA maturation; also required for small ribosomal subunit biogenesis; cosediments with pre-ribosomal particles; mutation decreases efficiency of +1 Ty1 frameshifting and transposition, and affects budding pattern"	YMR014W	3	nucleolus	FALSE	BUD22			FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
CAF4	CCR4 Associated Factor	regulation of transcription from RNA polymerase II promoter 	transcription level			"WD40 repeat-containing protein associated with the CCR4-NOT complex; interacts in a Ccr4p-dependent manner with Ssn2p; also interacts with Fis1p, Mdv1p and Dnm1p and plays a role in mitochondrial fission; CAF4 has a paralog, MDV1, that arose from the whole genome duplication"	YKR036C	1	mitochondrion	FALSE		WDR48		FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
CBF5	Centromere Binding Factor	mRNA binding/ rRNA processing				"Pseudouridine synthase catalytic subunit of box H/ACA snoRNPs; acts on large and small rRNAs, on snRNA U2, and on some mRNAs; mutations in human ortholog dyskerin cause the disorder dyskeratosis congenita; small nucleolar ribonucleoprotein particles are also known as snoRNPs"	YLR175W	3	nucleolus	TRUE	TruB_N, DKCLD, PUA	DKC1	TruB_N, DKCLD, PUA	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
CDC1	Cell Division Cycle	GPI anchor biosynthetic process 	enzyme			"Putative mannose-ethanolamine phosphate phosphodiesterase; involved in GPI-anchor remodeling prior to the attachment of cell wall proteins to beta 1,3-glucan, removing ethanolamine phosphate from the first mannose of GPI anchors; mutants display elevated Ca2+-dependent signaling resulting in secondary actin polarization and Golgi inheritance defects; enzyme is Mn2+-dependent; mutants have cell division cycle defect and fragile cell walls"	YDR182W	1		FALSE		MPPE1		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
CDC55	Cell Division Cycle	mitotic G2/M transition checkpoint	enzyme			"Non-essential regulatory subunit B of protein phosphatase 2A (PP2A); localization to cytoplasm requires Zds1p and Zds2p and promotes mitotic entry; localization to nucleus prevents mitotic exit; required for correct nuclear division and chromosome segregation in meiosis; maintains nucleolar sequestration of Cdc14p during early meiosis; limits formation of PP2A-Rts1p holocomplexes to ensure timely dissolution of sister chromosome cohesion; homolog of mammalian B55"	YGL190C	1	cytoplasm	FALSE		"PPP2R2C;PPP2R2D;PPP2R2B;PPP2R2A"		FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
CHD1	Chromatin organization modifier, Helicase, and DNA-binding domains	nucleosome organization 	transcription level			"Chromatin remodeler that regulates various aspects of transcription; acts in in conjunction with Isw1b to regulate chromatin structure and maintain chromatin integrity during transcription elongation by RNAP II by preventing trans-histone exchange over coding regions; contains a chromo domain, a helicase domain and a DNA-binding domain; component of both the SAGA and SLIK complexes"	YER164W	1	nucleus	FALSE		"CHD5;CHD9;CHD7;CHD4;CHD2;CHD3;CHD8;CHD6;CHD1"		TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
CEF1	CErevisiae homolog of cdc Five	mRNA splicing, via spliceosome	splicing			"Essential splicing factor; associated with Prp19p and the spliceosome, contains an N-terminal c-Myb DNA binding motif necessary for cell viability but not for Prp19p association, evolutionarily conserved and homologous to S. pombe Cdc5p"	YMR213W	1	nucleus, cytoplasm	FALSE		CDC5L	Myb_Cef	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
CGR1	Coiled-coil Growth-Regulated	rRNA processing	ribosome	rRNA		"Protein involved in nucleolar integrity and processing of pre-rRNA; has a role in processing rRNA for the 60S ribosome subunit; transcript is induced in response to cytotoxic stress but not genotoxic stress; relocalizes from nucleus to nucleolus upon DNA replication stress"	YGL029W	14	nucleus	FALSE	Cgr1			FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE
CIC1	Core Interacting Component 	protein catabolic process	proteasome			"Essential protein that interacts with proteasome components; has a potential role in proteasome substrate specificity; also copurifies with 66S pre-ribosomal particles"	YHR052W	1	nucleus, nucleolus	TRUE	Ribosomal_L1			FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
CKA2	Casein Kinase Alpha' subunit	protein serine/threonine kinase activity	enzyme			"Alpha' catalytic subunit of casein kinase 2 (CK2); CK2 is a Ser/Thr protein kinase with roles in cell growth and proliferation; CK2, comprised of CKA1, CKA2, CKB1 and CKB2, has many substrates including transcription factors and all RNA polymerases; protein abundance increases in response to DNA replication stress; regulates Fkh1p-mediated donor preference during mating-type switching"	YOR061W	1	nucleus, cytoplasm	FALSE		"CSNK2A2;CSNK2A1;CSNK2A3"		FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
CKB2	Casein Kinase Beta' subunit	protein kinase regulator activity	enzyme			"Beta' regulatory subunit of casein kinase 2 (CK2); a Ser/Thr protein kinase with roles in cell growth and proliferation; CK2, comprised of CKA1, CKA2, CKB1 and CKB2, has many substrates including transcription factors and all RNA polymerase"	YOR039W	5	nucleus, cytoplasm	FALSE		CSNK2B		FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
CMK2	CalModulin dependent protein Kinase	signal transduction	enzyme			"Calmodulin-dependent protein kinase; may play a role in stress response, many CA++/calmodulan dependent phosphorylation substrates demonstrated in vitro, amino acid sequence similar to mammalian Cam Kinase II; CMK2 has a paralog, CMK1, that arose from the whole genome duplication"	YOL016C	1	cytoplasm	FALSE		"PSKH2;CAMK2B;CAMK2A;CAMK2G;CAMK1G;CAMK1D;PNCK;CAMK1;CAMKV;CAMK2D;PSKH1;CAMK4"		FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
CMS1	Complementation of Mcm-10 Suppressor	unknown	ribosome			"Putative subunit of the 90S preribosome processome complex; overexpression rescues supressor mutant of mcm10; null mutant is viable; relocalizes from nucleus to cytoplasm upon DNA replication stress"	YLR003C	4	nucleus	FALSE				FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
CMP2	CalModulin binding Protein	cellular ion homeostasis	enzyme			"Calcineurin A; one isoform (the other is Cna1p) of the catalytic subunit of calcineurin, a Ca++/calmodulin-regulated protein phosphatase which regulates Crz1p (a stress-response transcription factor), the other calcineurin subunit is CNB1; regulates the function of Aly1p alpha-arrestin; CMP2 has a paralog, CNA1, that arose from the whole genome duplication"	YML057W	1	cytoplasm	FALSE		"PPP3CC;PPP3CA;PPP3CB"		FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
COG3	Conserved Oligomeric Golgi complex	ER to Golgi vesicle-mediated transport 	cell transport			"Essential component of the conserved oligomeric Golgi complex; a cytosolic tethering complex (Cog1p through Cog8p) that functions in protein trafficking to mediate fusion of transport vesicles to Golgi compartments"	YER157W	1		FALSE		COG3		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
COG4	Conserved Oligomeric Golgi complex 	intra-Golgi vesicle-mediated transport 	cell transport			"Essential component of the conserved oligomeric Golgi complex; a cytosolic tethering complex (Cog1p through Cog8p) that functions in protein trafficking to mediate fusion of transport vesicles to Golgi compartments"	YPR105C	1		FALSE		COG4		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
COP1	COat Protein	ER to Golgi vesicle-mediated transport 	cell transport			"Alpha subunit of COPI vesicle coatomer complex; complex surrounds transport vesicles in the early secretory pathway"	YDL145C	4		FALSE		"STRN4;COPA;STRN;STRN3"		FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
CPR1	Cyclosporin A-sensitive Proline Rotamase	peptidyl-prolyl cis-trans isomerase activity/mRNA binding	enzyme			"Cytoplasmic peptidyl-prolyl cis-trans isomerase (cyclophilin); catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; binds the drug cyclosporin A; N-terminally propionylated in vivo; protein abundance increases in response to DNA replication stress"	YDR155C	1	nucleus, cytoplasm	FALSE		"PPIAL4G;PPIF;PPIE;AC243756.1;PPIA;PPIAL4E;PPIAL4C;PPIAL4F;PPIAL4A;PPIAL4D"		TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
CRP1	Cruciform DNA-Recognizing Protein	unknown				"Protein that binds to cruciform DNA structures; CRP1 has a paralog, MDG1, that arose from the whole genome duplication"	YHR146W	4		FALSE				FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE
CTF18	Chromosome Transmission Fidelity	double-strand break repair via homologous recombination 	replication			"Subunit of a complex with Ctf8p; shares some subunits with Replication Factor C and is required for sister chromatid cohesion; may have overlapping functions with Rad24p in the DNA damage replication checkpoint"	YMR078C	1	nucleus, cytoplasm	FALSE		CHTF18		FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
CUL3	CULlin	ubiquitin-protein transferase activity	enzyme			"Ubiquitin-protein ligase; forms a complex with Elc1p that polyubiquitylates monoubiquitylated RNA polymerase II to trigger its proteolysis; cullin family member with similarity to Cdc53p and human CUL3"	YGR003W	1	nucleus, cytoplasm	FALSE				FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
CYK3	CYtoKinesis	barrier septum assembly 	enzyme			"SH3-domain protein located in the bud neck and cytokinetic actin ring; relocalizes from bud neck to nucleus upon DNA replication stress; activates the chitin synthase activity of Chs2p during cytokinesis; suppressor of growth and cytokinesis defects of chs2 phospho-mutants"	YDL117W	1	cytoplasm	FALSE				FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
CYR1	CYclic AMP Requirement	Ras protein signal transduction 	enzyme			"Adenylate cyclase; required for cAMP production and cAMP-dependent protein kinase signaling; the cAMP pathway controls a variety of cellular processes, including metabolism, cell cycle, stress response, stationary phase, and sporulation"	YJL005W	1		FALSE		"PHLPP2;PHLPP1"		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
CYM1	CYtosolic Metalloprotease	metalloendopeptidase activity	enzyme			"Lysine-specific metalloprotease of the pitrilysin family; metalloprotease of the intermembrane space; degrades proteins and presequence peptides cleaved from imported proteins; required for normal mitochondrial morphology"	YDR430C	1	mitochondrion	FALSE		PITRM1		FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
DBF20	DumbBell Forming	regulation of mRNA catabolic process 				"Ser/Thr kinase involved in late nuclear division; one of the mitotic exit network (MEN) proteins; necessary for the execution of cytokinesis; also plays a role in regulating the stability of SWI5 and CLB2 mRNAs; DBF20 has a paralog, DBF2, that arose from the whole genome duplication"	YPR111W	1	cytoplasm	FALSE		"STK32B;STK32A;STK32C;SGK494"		FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
DBP10	Dead Box Protein	ATP-dependent RNA helicase activity 	ribosome			"Putative ATP-dependent RNA helicase of the DEAD-box protein family; constituent of 66S pre-ribosomal particles; essential protein involved in ribosome biogenesis"	YDL031W	12		TRUE	DBP10CT, DEAD	DDX54	DEAD, DBP10CT	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
DBP3	Dead Box Protein	ATP-dependent RNA helicase activity	ribosome	rRNA		"RNA-Dependent ATPase, member of DExD/H-box family; involved in cleavage of site A3 within the ITS1 spacer during rRNA processing; not essential for growth, but deletion causes severe slow-growth phenotype"	YGL078C	27	nucleus, nucleolus	TRUE	DEAD			FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
DBP7	Dead Box Protein	ATP-dependent RNA helicase activity 	ribosome	rRNA		"Putative ATP-dependent RNA helicase of the DEAD-box family; involved in ribosomal biogenesis; required at post-transcriptional step for efficient retrotransposition; essential for growth under anaerobic conditions"	YKR024C	2	nucleus, nucleolus	TRUE	DEAD	DDX31	DEAD	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
DBP9	Dead Box Protein	ATP-dependent RNA helicase activity 	ribosome	rRNA		"DEAD-box protein required for 27S rRNA processing; exhibits DNA, RNA and DNA/RNA helicase activities; ATPase activity shows preference for DNA over RNA; DNA helicase activity abolished by mutation in RNA-binding domain"	YLR276C	7		TRUE	DEAD	DDX56	DEAD	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE
DED81	Defines Essential Domain	asparagine-tRNA ligase activity		tRNA		"Cytosolic asparaginyl-tRNA synthetase; required for protein synthesis, catalyzes the specific attachment of asparagine to its cognate tRNA"	YHR019C	58		FALSE	tRNA-synt_2, tRNA_anti-codon	NARS	tRNA_anti-codon, tRNA-synt_2	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
DEP1	Disability in regulation of Expression of genes involved in Phospholipid biosynthesis	negative regulation of chromatin silencing at silent mating-type cassette	transcription level			"Component of the Rpd3L histone deacetylase complex; required for diauxic shift-induced histone H2B deposition onto rDNA genes; transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation"	YAL013W	1		FALSE				FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
DJP1	DnaJ Protein	protein import into mitochondrial outer membrane 	cell transport			"Cytosolic J-domain-containing protein; required for peroxisomal protein import and involved in peroxisome assembly; facilitates import of Mim1p and Mim2p into the mitochondrial outer membrane; homologous to E. coli DnaJ"	YIR004W	2		FALSE		"DNAJC12;DNAJC17"		TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE
DLD1	D-Lactate Dehydrogenase	lactate catabolic process	enzyme			"Major mitochondrial D-lactate dehydrogenase; oxidizes D-lactate to pyruvate, transcription is heme-dependent, repressed by glucose, and derepressed in ethanol or lactate; located in the mitochondrial inner membrane"	YDL174C	2	mitochondrion	FALSE		"AGPS;LDHD"		FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
DNF1	Drs2 Neo1 Family	phospholipid translocation	enzyme			"Aminophospholipid translocase (flippase); type 4 P-type ATPase; involved in phospholipid translocation, contributing to endocytosis, protein transport, and cellular polarization; localizes primarily to the plasma membrane; localizes to the shmoo tip where it has a redundant role in the cellular response to mating pheromone; DNF1 has a paralog, DNF2, that arose from the whole genome duplication"	YER166W	2		FALSE		"ATP10B;ATP10D"		FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
DOA4	Degradation Of Alpha	free ubiquitin chain depolymerization	enzyme			"Ubiquitin hydrolase; deubiquitinates intralumenal vesicle (ILVs) cargo proteins; required for recycling ubiquitin from proteasome-bound ubiquitinated intermediates, acts at the late endosome/prevacuolar compartment to recover ubiquitin from ubiquitinated membrane proteins destined for the vacuole; DOA4 has a paralog, UBP5, that arose from the whole genome duplication"	YDR069C	1		FALSE		"USP33;USP3;USP16;USP44;USP8;USP45;USP21;USP2;USP20;USP49;USP50"		FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
DPS1		aspartate-tRNA ligase activity	enzyme	tRNA		"Aspartyl-tRNA synthetase, primarily cytoplasmic; homodimeric enzyme that catalyzes the specific aspartylation of tRNA(Asp); class II aminoacyl tRNA synthetase; binding to its own mRNA may confer autoregulation; shares five highly conserved amino acids with human that when mutated cause leukoencephalopathy characterized by hypomyelination with brain stem and spinal cord involvement and leg spasticity (HBSL)"	YLL018C	82	cytoplasm	TRUE	tRNA-synt_2, tRNA_anti-codon	DARS	tRNA_anti-codon, tRNA-synt_2	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
