"Protein.IDs"	"Protein.names"	"Gene.names"	"Log2..UVC..UVC"	"p.Value.adjusted"	"ORF"
"P25443"	"RPS2"	"40S ribosomal protein S2"	4.98839156944831	8.36158373292213e-06	"YGL123W"
"P05743"	"RPL26A"	"60S ribosomal protein L26-A"	4.97327186506386	8.36158373292213e-06	"YLR344W"
"P0CX56"	"RPS18B;RPS18A"	"40S ribosomal protein S18-B;40S ribosomal protein S18-A"	4.9212673656757	9.4278559849342e-06	"YML026C"
"Q12159"	"YRA1"	"RNA annealing protein YRA1"	4.85899741621466	8.36158373292213e-06	"YDR381W"
"P41057"	"RPS29A;RPS29B"	"40S ribosomal protein S29-A;40S ribosomal protein S29-B"	4.85085809574072	5.59172267504253e-05	"YLR388W"
"P17076"	"RPL8A"	"60S ribosomal protein L8-A"	4.82334280019005	8.36158373292213e-06	"YHL033C"
"P07284"	"SES1"	"Serine--tRNA ligase, cytoplasmic"	4.71297959130946	1.3469756373597e-05	"YDR023W"
"Q08962"	"NIP7"	"60S ribosome subunit biogenesis protein NIP7"	4.67056940055441	7.73459440212103e-06	"YPL211W"
"P46654"	"RPS0B;RPS0A"	"40S ribosomal protein S0-B;40S ribosomal protein S0-A"	4.66031143093899	2.69778832684153e-05	"YLR048W"
"P24783"	"DBP2"	"ATP-dependent RNA helicase DBP2"	4.59410962551678	6.73731833071592e-06	"YNL112W"
"P10081"	"TIF1"	"ATP-dependent RNA helicase eIF4A"	4.54993968275109	1.47960858385562e-05	"YKR059W"
"P25555"	"GBP2"	"Single-strand telomeric DNA-binding protein GBP2"	4.45741543625405	1.9942314203601e-05	"YCL011C"
"P40212"	"RPL13B;RPL13A"	"60S ribosomal protein L13-B;60S ribosomal protein L13-A"	4.448981721655	6.78631487814844e-06	"YMR142C"
"P53849"	"GIS2"	"Zinc finger protein GIS2"	4.42693246296724	8.36158373292213e-06	"YNL255C"
"P40693"	"RLP7"	"Ribosome biogenesis protein RLP7"	4.39278304265303	8.95295080120459e-06	"YNL002C"
"P40858"	"MRPL49"	"54S ribosomal protein L49, mitochondrial"	4.31572713459964	0.000144000993143425	"YJL096W"
"P06105"	"SCP160"	"Protein SCP160"	4.30190314095538	1.51493896487935e-05	"YJL080C"
"Q01560"	"NPL3"	"Nucleolar protein 3"	4.27940885449197	1.26673801790039e-05	"YDR432W"
"P38199"	"HEK2"	"Heterogeneous nuclear rnp K-like protein 2"	4.21858348370138	8.22197044822979e-06	"YBL032W"
"P12962"	"CAF20"	"Cap-associated protein CAF20"	4.10188714181415	0.00283158592823714	"YOR276W"
"P05744"	"RPL33A"	"60S ribosomal protein L33-A"	4.08125448631243	2.48606831052787e-05	"YPL143W"
"P51402"	"RPL37B"	"60S ribosomal protein L37-B"	4.05935782884265	0.00103506697594086	"YDR500C"
"P32445"	"RIM1"	"Single-stranded DNA-binding protein RIM1, mitochondrial"	4.00638890514621	3.57425117096206e-05	"YCR028C-A"
"P40070"	"LSM4"	"U6 snRNA-associated Sm-like protein LSm4"	3.93396699292751	1.480749824057e-05	"YER112W"
"P38934"	"BFR1"	"Nuclear segregation protein BFR1"	3.90397238995486	1.480749824057e-05	"YOR198C"
"P04456"	"RPL25"	"60S ribosomal protein L25"	3.84796825178423	9.77905533950727e-06	"YOL127W"
"P14120"	"RPL30"	"60S ribosomal protein L30"	3.83742208140631	1.02266943227566e-05	"YGL030W"
"Q08925"	"MRN1"	"RNA-binding protein MRN1"	3.79309008174869	9.77905533950727e-06	"YPL184C"
"Q08745"	"RPS10A;RPS10B"	"40S ribosomal protein S10-A;40S ribosomal protein S10-B"	3.78651438678309	4.19308676454614e-05	"YOR293W"
"P0CX42"	"RPL23B;RPL23A"	"60S ribosomal protein L23-B;60S ribosomal protein L23-A"	3.76203959803079	0.000284945277733451	"YBL087C"
"P05750"	"RPS3"	"40S ribosomal protein S3"	3.69559527262548	5.15409348266136e-05	"YNL178W"
"P0CX52"	"RPS16B;RPS16A"	"40S ribosomal protein S16-B;40S ribosomal protein S16-A"	3.67743329905532	2.26767235422151e-05	"YDL083C"
"P36421"	"TYS1"	"Tyrosine--tRNA ligase, cytoplasmic"	3.67633875680561	1.48641796791127e-05	"YGR185C"
"Q04067"	"TIF35"	"Eukaryotic translation initiation factor 3 subunit G"	3.64711744304553	0.000334697424824028	"YDR429C"
"Q3E792"	"RPS25A;RPS25B"	"40S ribosomal protein S25-A;40S ribosomal protein S25-B"	3.63638211917557	2.20695078624172e-05	"YGR027C"
"P0CX44"	"RPL1B;RPL1A"	"60S ribosomal protein L1-B;60S ribosomal protein L1-A"	3.6331982484123	0.000194989908322208	"YPL220W"
"P34167"	"TIF3"	"Eukaryotic translation initiation factor 4B"	3.58828043279858	5.59172267504253e-05	"YPR163C"
"P15424"	"MSS116"	"ATP-dependent RNA helicase MSS116, mitochondrial"	3.57564556955743	3.50246759337102e-05	"YDR194C"
"P36520"	"MRPL10"	"54S ribosomal protein L10, mitochondrial"	3.51478660307139	0.000279708349019207	"YNL284C"
"P14126"	"RPL3"	"60S ribosomal protein L3"	3.45580768035205	2.6872169892655e-05	"YOR063W"
"Q08208"	"NOP12"	"Nucleolar protein 12"	3.45169251961186	1.480749824057e-05	"YOL041C"
"P0CX54"	"RPL12B;RPL12A"	"60S ribosomal protein L12-B;60S ribosomal protein L12-A"	3.43706775011395	8.1309576293453e-05	"YEL054C"
"P07260"	"CDC33"	"Eukaryotic translation initiation factor 4E"	3.41977996250955	1.5062741460078e-05	"YOL139C"
"P0CX50"	"RPL18B;RPL18A"	"60S ribosomal protein L18-B;60S ribosomal protein L18-A"	3.39216597963933	2.48606831052787e-05	"YOL120C"
"Q02753"	"RPL21A;RPL21B"	"60S ribosomal protein L21-A;60S ribosomal protein L21-B"	3.37633639332809	3.51429286224614e-05	"YBR191W"
"P32324"	"EFT1"	"Elongation factor 2"	3.33411360984951	0.000178374857298939	"YDR385W"
"P05748"	"RPL15A;RPL15B"	"60S ribosomal protein L15-A;60S ribosomal protein L15-B"	3.31312479737603	7.41269594196859e-05	"YLR029C"
"Q03558"	"OYE2"	"NADPH dehydrogenase 2"	3.30548572959884	4.19308676454614e-05	"YHR179W"
"P23301"	"HYP2"	"Eukaryotic translation initiation factor 5A-1"	3.29598017416863	0.000399314400898292	"YEL034W"
"Q05900"	"YHC1"	"U1 small nuclear ribonucleoprotein C"	3.25740898657954	7.24203703937415e-05	"YLR298C"
"P46672"	"ARC1"	"tRNA-aminoacylation cofactor ARC1"	3.21978112591776	0.000161554429870557	"YGL105W"
"P0C2H7"	"RPL27B;RPL27A"	"60S ribosomal protein L27-B;60S ribosomal protein L27-A"	3.14634447234542	4.10407366943982e-05	"YDR471W"
"P15180"	"KRS1"	"Lysine--tRNA ligase, cytoplasmic"	3.14265581168999	3.6608061123411e-05	"YDR037W"
"P53316"	"YGR250C"	"Uncharacterized RNA-binding protein YGR250C"	3.07764396385561	4.00638473312944e-05	"YGR250C"
"P33399"	"LHP1"	"La protein homolog"	3.05898909605176	0.000199653143958571	"YDL051W"
"Q07478"	"SUB2"	"ATP-dependent RNA helicase SUB2"	3.03539624236931	6.20587359852039e-05	"YDL084W"
"P39517"	"DHH1"	"ATP-dependent RNA helicase DHH1"	3.03464474743764	9.32126096475504e-05	"YDL160C"
"Q3E7X9"	"RPS28A;RPS28B"	"40S ribosomal protein S28-A;40S ribosomal protein S28-B"	2.99654397130775	0.000588054238814405	"YOR167C"
"P07281"	"RPS19B;RPS19A"	"40S ribosomal protein S19-B;40S ribosomal protein S19-A"	2.9924261736965	0.00101405972875022	"YNL302C"
"P25567"	"SRO9"	"RNA-binding protein SRO9"	2.99175432135447	6.11502309984032e-05	"YCL037C"
"P0CX34"	"RPS30B;RPS30A"	"40S ribosomal protein S30-B;40S ribosomal protein S30-A"	2.99136446605008	5.53491138593448e-05	"YOR182C"
"P39015"	"STM1"	"Suppressor protein STM1"	2.97600741761448	3.98143385016411e-05	"YLR150W"
"P40078"	"NSA2"	"Ribosome biogenesis protein NSA2"	2.95828799668939	3.90999693751817e-05	"YER126C"
"P14832"	"CPR1"	"Peptidyl-prolyl cis-trans isomerase"	2.86494480598817	4.49587534720822e-05	"YDR155C"
"Q07915"	"RLP24"	"Ribosome biogenesis protein RLP24"	2.85971104422366	0.000332379793246383	"YLR009W"
"P46655"	"GUS1"	"Glutamate--tRNA ligase, cytoplasmic"	2.84399346991583	0.00024277282716006	"YGL245W"
"P38151"	"PBP2"	"PAB1-binding protein 2"	2.8177466655587	0.000154234010355877	"YBR233W"
"P07263"	"HTS1"	"Histidine--tRNA ligase, mitochondrial"	2.79706564101148	0.000104532118236465	"YPR033C"
"P33750"	"SOF1"	"Protein SOF1"	2.77345122747454	5.71227144850244e-05	"YLL011W"
"P53292"	"MRPS35"	"37S ribosomal protein S35, mitochondrial"	2.75216727232771	4.92787175990577e-05	"YGR165W"
"P32831"	"NGR1"	"Negative growth regulatory protein NGR1"	2.72329022448211	7.57467702832203e-05	"YBR212W"
"P38249"	"RPG1"	"Eukaryotic translation initiation factor 3 subunit A"	2.71955088793609	7.57467702832203e-05	"YBR079C"
"P38861"	"NMD3"	"60S ribosomal export protein NMD3"	2.71518757296008	9.32126096475504e-05	"YHR170W"
"Q08235"	"BRX1"	"Ribosome biogenesis protein BRX1"	2.68243331564659	0.000871249444572334	"YOL077C"
"P36036"	"YRA2"	"RNA annealing protein YRA2"	2.67534234576984	9.02820945393136e-05	"YKL214C"
"P53131"	"PRP43"	"Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43"	2.66783107682032	0.000119823730643255	"YGL120C"
"P53305"	"RSM27"	"Mitochondrial 37S ribosomal protein S27"	2.64180078923213	0.00227489791343881	"YGR215W"
"P49167"	"RPL38"	"60S ribosomal protein L38"	2.63920202942848	0.000260783607979791	"YLR325C"
"Q02642"	"EGD1"	"Nascent polypeptide-associated complex subunit beta-1"	2.63477362974816	0.000199653143958571	"YPL037C"
"P38431"	"TIF5"	"Eukaryotic translation initiation factor 5"	2.62646708192073	8.04539846827844e-05	"YPR041W"
"P47150"	"RSM7"	"37S ribosomal protein S7, mitochondrial"	2.60167158327623	0.000135739910128118	"YJR113C"
"P38175"	"MRP21"	"37S ribosomal protein MRP21, mitochondrial"	2.58658115871533	8.54341632160115e-05	"YBL090W"
"Q06218"	"DBP9"	"ATP-dependent RNA helicase DBP9"	2.57326989034501	0.000291462320805453	"YLR276C"
"P23369"	"MRPL25"	"54S ribosomal protein L25, mitochondrial"	2.56771546113683	0.000127880319480836	"YGR076C"
"Q05022"	"RRP5"	"rRNA biogenesis protein RRP5"	2.56647895748469	0.000198955427189124	"YMR229C"
"P22147"	"XRN1"	"5-3 exoribonuclease 1"	2.53074422146858	0.000797182575753968	"YGL173C"
"Q02204"	"MRPL13"	"54S ribosomal protein L13, mitochondrial"	2.52736889648726	0.000664251616712522	"YKR006C"
"P38219"	"OLA1"	"Obg-like ATPase 1"	2.51220416563658	0.000430495964627361	"YBR025C"
"P40024"	"ARB1"	"ABC transporter ATP-binding protein ARB1"	2.50067550974369	0.000278283612602291	"YER036C"
"P05319"	"RPP2A"	"60S acidic ribosomal protein P2-alpha"	2.49778345725249	0.00409221341430396	"YOL039W"
"P38333"	"ENP1"	"Essential nuclear protein 1"	2.48028320546432	0.000144000993143425	"YBR247C"
"P40033"	"RSM18"	"37S ribosomal protein RSM18, mitochondrial"	2.47953562347441	0.000111247789011478	"YER050C"
"P37838"	"NOP4"	"Nucleolar protein 4"	2.4488600335032	0.000193489335687246	"YPL043W"
"Q05775"	"HCR1"	"Eukaryotic translation initiation factor 3 subunit J"	2.44314841851103	0.000291462320805453	"YLR192C"
"Q03735"	"NAB6"	"RNA-binding protein NAB6"	2.44295743517894	0.000111247789011478	"YML117W"
"Q08818"	"MSC6"	"Meiotic sister-chromatid recombination protein 6, mitochondrial"	2.44133141644324	0.000194989908322208	"YOR354C"
"Q03690"	"CLU1"	"Clustered mitochondria protein 1"	2.43826208669431	0.000551552089655504	"YMR012W"
"P53261"	"NOP7"	"Pescadillo homolog"	2.43246600158206	0.000109849598835713	"YGR103W"
"P12687"	"MRP7"	"54S ribosomal protein L2, mitochondrial"	2.42733701937558	0.000543778598900551	"YNL005C"
"P40581"	"HYR1"	"Peroxiredoxin HYR1"	2.4231767351258	0.000119823730643255	"YIR037W"
"Q06630"	"MHR1"	"Mitochondrial homologous recombination protein 1"	2.42209590732156	0.000199653143958571	"YDR296W"
"P22353"	"MRPL8"	"54S ribosomal protein L8, mitochondrial"	2.40847317907711	0.000193489335687246	"YJL063C"
"P53742"	"NOG2"	"Nucleolar GTP-binding protein 2"	2.39892704855223	0.000165258683557725	"YNR053C"
"P41812"	"POP1"	"Ribonucleases P/MRP protein subunit POP1"	2.39066722481641	0.000250423459731695	"YNL221C"
"Q00539"	"NAM8"	"Protein NAM8"	2.38810148285278	0.00011029013181963	"YHR086W"
"P53883"	"NOP13"	"Nucleolar protein 13"	2.38761950267904	0.000105640116203343	"YNL175C"
"P04801"	"THS1"	"Threonine--tRNA ligase, cytoplasmic"	2.37225980954451	0.000285458825195275	"YIL078W"
"Q02892"	"NOG1"	"Nucleolar GTP-binding protein 1"	2.36062253942275	0.000211928422298901	"YPL093W"
"P25339"	"PUF4"	"Pumilio homology domain family member 4"	2.35830452823885	0.00024277282716006	"YGL014W"
"Q08746"	"RRS1"	"Regulator of ribosome biosynthesis"	2.35228516954484	0.000292616833751709	"YOR294W"
"P26637"	"CDC60"	"Leucine--tRNA ligase, cytoplasmic"	2.35034462512912	0.000343637510606324	"YPL160W"
"P53723"	""	"UPF0674 endoplasmic reticulum membrane protein YNR021W"	2.34050647855964	0.000278283612602291	"YNR021W"
"P53336"	"YGR283C"	"Putative methyltransferase YGR283C"	2.33872306642808	0.000579153591093567	"YGR283C"
"P06367"	"RPS14A;RPS14B"	"40S ribosomal protein S14-A;40S ribosomal protein S14-B"	2.33352094626122	0.000206327782495697	"YCR031C"
"P43586"	"LOC1"	"60S ribosomal subunit assembly/export protein LOC1"	2.32925360409863	0.000889414244127405	"YFR001W"
"O14467"	"MBF1"	"Multiprotein-bridging factor 1"	2.30550756055482	0.000416066305353562	"YOR298C-A"
"P38720"	"GND1"	"6-phosphogluconate dehydrogenase, decarboxylating 1"	2.30084942852001	0.000184245373028094	"YHR183W"
"P25348"	"MRPL32"	"54S ribosomal protein L32, mitochondrial"	2.29641488005218	0.00148430816537666	"YCR003W"
"P00950"	"GPM1"	"Phosphoglycerate mutase 1"	2.2721470474549	0.00132044579652345	"YKL152C"
"P41058"	"RPS29B"	"40S ribosomal protein S29-B"	2.27171169700563	0.00184563320369605	"YDL061C"
"P40495"	"LYS12"	"Homoisocitrate dehydrogenase, mitochondrial"	2.26353069645564	0.00024277282716006	"YIL094C"
"Q08972"	"NEW1"	"[NU+] prion formation protein 1"	2.25046619976052	0.000605308604783478	"YPL226W"
"P12385"	"SUP45"	"Eukaryotic peptide chain release factor subunit 1"	2.24111410065291	0.000154234010355877	"YBR143C"
"Q04600"	"TMA64"	"Translation machinery-associated protein 64"	2.24036283469642	0.000198955427189124	"YDR117C"
"P25491"	"YDJ1"	"Mitochondrial protein import protein MAS5"	2.23822964373549	0.000449003649937214	"YNL064C"
"Q99181"	"HSH49"	"Protein HSH49"	2.2243229963005	0.000912744551250706	"YOR319W"
"P53184"	"PNC1"	"Nicotinamidase"	2.22154746435927	0.000392381755857839	"YGL037C"
"P37291"	"SHM2"	"Serine hydroxymethyltransferase, cytosolic"	2.21633405053781	0.000332379793246383	"YLR058C"
"P38707"	"DED81"	"Asparagine--tRNA ligase, cytoplasmic"	2.21558597055455	0.00031503540332614	"YHR019C"
"Q02931"	"NAN1"	"NET1-associated nuclear protein 1"	2.21252204362411	0.000233095067120247	"YPL126W"
"P32505"	"NAB2"	"Nuclear polyadenylated RNA-binding protein NAB2"	2.2099945379947	0.00134675535568029	"YGL122C"
"P38922"	"HRB1"	"Protein HRB1"	2.20746618041445	0.000392381755857839	"YNL004W"
"P38088"	"GRS1"	"Glycine--tRNA ligase 1, mitochondrial"	2.1915671255997	0.00210649018933968	""
"P22336"	"RFA1"	"Replication factor A protein 1"	2.18639645764356	0.000291462320805453	"YAR007C"
"P38783"	"FYV4"	"Protein FYV4, mitochondrial"	2.18577473637644	0.000489345566286565	"YHR059W"
"P41911"	"GPD2"	"Glycerol-3-phosphate dehydrogenase [NAD(+)] 2, mitochondrial"	2.17660720955881	0.000177341735750764	"YOL059W"
"P0CX28"	"RPL42B;RPL42A"	"60S ribosomal protein L42-B;60S ribosomal protein L42-A"	2.17572369079973	0.000411271499334803	"YNL162W"
"P32387"	"MRP20"	"54S ribosomal protein L41, mitochondrial"	2.16515773757918	0.000177947201632402	"YDR405W"
"Q12754"	"RRP12"	"Ribosomal RNA-processing protein 12"	2.15933925274063	0.000612922529353863	"YPL012W"
"P06103"	"PRT1"	"Eukaryotic translation initiation factor 3 subunit B"	2.14371280357584	0.00135627424684463	"YOR361C"
"P51998"	"YML6"	"54S ribosomal protein YmL6, mitochondrial"	2.14287800878406	0.000889414244127405	"YML025C"
"P09064"	"SUI3"	"Eukaryotic translation initiation factor 2 subunit beta"	2.14059402024493	0.000858881171145471	"YPL237W"
"Q05506"	""	"Arginine--tRNA ligase, cytoplasmic"	2.13924152436096	0.0018472909347823	"YDR341C"
"P38804"	"RTC3"	"Restriction of telomere capping protein 3"	2.13227962211775	0.000392344546253553	"YHR087W"
"P32902"	"MRP4"	"37S ribosomal protein MRP4, mitochondrial"	2.12556003328962	0.000195637246121821	"YHL004W"
"P20051"	"URA4"	"Dihydroorotase"	2.11262610228313	0.00245487764617272	"YLR420W"
"P16521"	"YEF3"	"Elongation factor 3A"	2.10829854785289	0.001076067431942	"YLR249W"
"P08518"	"RPB2"	"DNA-directed RNA polymerase II subunit RPB2"	2.09979749679892	0.000291462320805453	"YOR151C"
"P41920"	"YRB1"	"Ran-specific GTPase-activating protein 1"	2.08383657827198	0.000950495752910333	"YDR002W"
"P15625"	"FRS2"	"Phenylalanine--tRNA ligase alpha subunit"	2.07929664311071	0.000562808916976094	"YFL022C"
"P39683"	"NPT1"	"Nicotinate phosphoribosyltransferase"	2.07584320692876	0.000802527542672926	"YOR209C"
"P53140"	"RMD9"	"Protein RMD9, mitochondrial"	2.07261396197086	0.000292616833751709	"YGL107C"
"Q03195"	"RLI1"	"Translation initiation factor RLI1"	2.0721381142746	0.00173253122410405	"YDR091C"
"P38687"	"SRP68"	"Signal recognition particle subunit SRP68"	2.0706136475908	0.000342363539527656	"YPL243W"
"P09436"	"ILS1"	"Isoleucine--tRNA ligase, cytoplasmic"	2.05442879248092	0.0014540885712813	"YBL076C"
"P04807"	"HXK2"	"Hexokinase-2"	2.05392731296235	0.00248651037423228	"YGL253W"
"P05317"	"RPP0"	"60S acidic ribosomal protein P0"	2.05333883406604	0.00117452523708429	"YLR340W"
"P32481"	"GCD11"	"Eukaryotic translation initiation factor 2 subunit gamma"	2.05128681662167	0.00237876794240994	"YER025W"
"Q99258"	"RIB3"	"3,4-dihydroxy-2-butanone 4-phosphate synthase"	2.050770596575	0.0361504399639737	"YDR487C"
"P53145"	"LSG1"	"Large subunit GTPase 1"	2.04545201113756	0.000329500246771367	"YGL099W"
"P35732"	"DEF1"	"RNA polymerase II degradation factor 1"	2.03973259189824	0.000250423459731695	"YKL054C"
"P0CX73"	"TY1A-PL;TY1A-LR2;TY1A-ER1;TY1A-DR6;TY1A-LR4"	"Transposon Ty1-PL Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty1-LR2 Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty1-ER1 Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty1-DR6 Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty1-LR4 Gag polyprotein;Capsid protein;Gag-p4"	2.03914976127033	0.00109412563965491	""
"Q3E7Y3"	"RPS22B;RPS22A"	"40S ribosomal protein S22-B;40S ribosomal protein S22-A"	2.03870039070092	0.000271039236988433	"YLR367W"
"P13188"	"GLN4"	"Glutamine--tRNA ligase"	2.03823350194194	0.000454808390597264	"YOR168W"
"Q04214"	"TY1B-MR1;TY1A-MR1;TY1B-BL;TY1A-BL"	"Transposon Ty1-MR1 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-MR1 Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty1-BL Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-BL Gag polyprotein;Capsid protein;Gag-p4"	2.03810343291816	0.00148430816537666	""
"P36008"	"TEF4"	"Elongation factor 1-gamma 2"	2.01983108882008	0.0018472909347823	"YKL081W"
"P60010"	"ACT1"	"Actin"	2.01476170299706	0.00209519163207868	"YFL039C"
"P04802"	"DPS1"	"Aspartate--tRNA ligase, cytoplasmic"	2.00856818450756	0.000931809803914485	"YLL018C"
"P40561"	"SGN1"	"RNA-binding protein SGN1"	1.99206507017523	0.000372295468403483	"YIR001C"
"Q02354"	"UTP6"	"U3 small nucleolar RNA-associated protein 6"	1.9881573119904	0.000291462320805453	"YDR449C"
