seqnames,start,end,width,strand,plate,position,name1,name2,name,pos,gene,ann,ann2
chrVII,936089,936210,122,-,P1,G3,YGR220C_1_CDS_S,VII:936089-936210,P1G3,CDS,YGR220C,CDS-chrVII-936077-936886-MRPL9,Mitochondrial ribosomal protein of the large subunit
chrVII,40691,40829,139,+,P1,H3,YGL245W_18_CDS_S,VII:40691-40829,P1H3,CDS,YGL245W,CDS-chrVII-39023-41149-GUS1,"Glutamyl-tRNA synthetase (GluRS), forms a complex with methionyl-tRNA synthetase (Mes1p) and Arc1p; complex formation increases the catalytic efficiency of both tRNA synthetases and ensures their correct localization to the cytoplasm"
chrII,686097,686203,107,-,P1,A4,YBR234C_4_CDS_S,II:686097-686203,P1A4,CDS,YBR234C,CDS-chrII-685433-686587-ARC40,"Subunit of the ARP2/3 complex, which is required for the motility and integrity of cortical actin patches"
chrIV,332302,332418,117,+,P1,B4,YDL070W_28_CDS_S,IV:332302-332418,P1B4,CDS,YDL070W,CDS-chrIV-331025-332941-BDF2,Protein involved in transcription initiation at TATA-containing promoters; associates with the basal transcription factor TFIID; contains two bromodomains; corresponds to the C-terminal region of mammalian TAF1; redundant with Bdf1p
chrII,735832,735943,112,-,P1,C4,YBR262C_4_CDS_S,II:735832-735943,P1C4,CDS,YBR262C,CDS-chrII-735715-736035-AIM5,"Protein of unknown function; the authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies &#65279;"
chrXI,428067,428176,110,-,P1,D4,YKL008C_8_CDS_S,XI:428067-428176,P1D4,CDS,YKL008C,CDS-chrXI-426938-428194-LAC1,"Ceramide synthase component, involved in synthesis of ceramide from C26(acyl)-coenzyme A and dihydrosphingosine or phytosphingosine, functionally equivalent to Lag1p"
chrXVI,464906,465017,112,+,P1,E4,YPL048W_9_CDS_S,XVI:464906-465017,P1E4,CDS,YPL048W,CDS-chrXVI-464398-465645-CAM1,Nuclear protein required for transcription of MXR1; binds the MXR1 promoter in the presence of other nuclear factors; binds calcium and phospholipids; has similarity to translational cofactor EF-1 gamma
chrIV,104431,104543,113,-,P1,F4,YDL198C_5_CDS_S,IV:104431-104543,P1F4,CDS,YDL198C,CDS-chrIV-103650-104552-GGC1,"Mitochondrial GTP/GDP transporter, essential for mitochondrial genome maintenance; has a role in mitochondrial iron transport; member of the mitochondrial carrier family"
chrIV,579566,579705,140,+,P1,G4,YDR064W_3_UTR5_S,IV:579566-579705,P1G4,UTR5,YDR064W,intron-chrIV-579478-580016-RPS13,Protein component of the small (40S) ribosomal subunit; has similarity to E. coli S15 and rat S13 ribosomal proteins
chrIV,579610,579751,142,+,P1,H4,YDR064W_4_UTR5_S,IV:579610-579751,P1H4,UTR5,YDR064W,intron-chrIV-579478-580016-RPS13,Protein component of the small (40S) ribosomal subunit; has similarity to E. coli S15 and rat S13 ribosomal proteins
chrIX,317814,317949,136,+,P1,A5,YIL018W_1_UTR3_S,IX:317814-317949,P1A5,UTR3,YIL018W,CDS-chrIX-317170-317930-RPL2B,"Protein component of the large (60S) ribosomal subunit, identical to Rpl2Ap and has similarity to E. coli L2 and rat L8 ribosomal proteins; expression is upregulated at low temperatures"
chrIX,317862,317995,134,+,P1,B5,YIL018W_2_UTR3_S,IX:317862-317995,P1B5,UTR3,YIL018W,CDS-chrIX-317170-317930-RPL2B,"Protein component of the large (60S) ribosomal subunit, identical to Rpl2Ap and has similarity to E. coli L2 and rat L8 ribosomal proteins; expression is upregulated at low temperatures"
chrXIII,86055,86177,123,-,P1,C5,YML092C_3_CDS_S,XIII:86055-86177,P1C5,CDS,YML092C,CDS-chrXIII-85987-86739-PRE8,Alpha 2 subunit of the 20S proteasome
chrXI,185599,185701,103,-,P1,D5,YKL138C_6_UTR5_S,XI:185599-185701,P1D5,UTR5,YKL138C,CDS-chrXI-185291-185686-MRPL31,Mitochondrial ribosomal protein of the large subunit
chrXVI,677313,677427,115,+,P1,E5,YPR062W_1_CDS_S,XVI:677313-677427,P1E5,CDS,YPR062W,CDS-chrXVI-677162-677638-FCY1,"Cytosine deaminase, zinc metalloenzyme that catalyzes the hydrolytic deamination of cytosine to uracil; of biomedical interest because it also catalyzes the deamination of 5-fluorocytosine (5FC) to form anticancer drug 5-fluorouracil (5FU)"
chrXII,202049,202155,107,-,P1,F5,YLR029C_3_CDS_S,XII:202049-202155,P1F5,CDS,YLR029C,CDS-chrXII-201977-202591-RPL15A,"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl15Bp and has similarity to rat L15 ribosomal protein; binds to 5.8 S rRNA"
chrXIII,250499,250660,162,+,P1,G5,YML010W_48_CDS_S,XIII:250499-250660,P1G5,CDS,YML010W,CDS-chrXIII-247677-250868-SPT5 // CDS-chrXIII-250435-250911-NA,"Protein involved in the regulating Pol I and Pol II transcription and pre-mRNA processing; forms a complex with Spt4p // Dubious ORF unlikely to encode a functional protein, based on available experimental and comparative sequence data; deletion mutation confers an increase in Ty1 transposition"
chrXVI,136086,136483,398,+,P1,H5,YPL220W_1_UTR3_S,XVI:136086-136483,P1H5,UTR3,YPL220W,CDS-chrXVI-135789-136442-RPL1A,"N-terminally acetylated protein component of the large (60S) ribosomal subunit, nearly identical to Rpl1Bp and has similarity to E. coli L1 and rat L10a ribosomal proteins; rpl1a rpl1b double null mutation is lethal"
chrVII,181891,181996,106,+,P1,A6,YGL172W_12_CDS_S,VII:181891-181996,P1A6,CDS,YGL172W,CDS-chrVII-180706-182124-NUP49,"Subunit of the Nsp1p-Nup57p-Nup49p-Nic96p subcomplex of the nuclear pore complex (NPC), required for nuclear export of ribosomes"
chrIV,201484,201605,122,+,P1,B6,YDL143W_13_UTR3_S,IV:201484-201605,P1B6,UTR3,YDL143W,CDS-chrIV-199997-201583-CCT4,"Subunit of the cytosolic chaperonin Cct ring complex, related to Tcp1p, required for the assembly of actin and tubulins in vivo"
chrXVI,108656,108796,141,+,P1,C6,YPL231W_1_CDS_S,XVI:108656-108796,P1C6,CDS,YPL231W,CDS-chrXVI-108652-114315-FAS2,"Alpha subunit of fatty acid synthetase, which catalyzes the synthesis of long-chain saturated fatty acids; contains beta-ketoacyl reductase and beta-ketoacyl synthase activities; phosphorylated"
chrI,72286,72410,125,+,P1,D6,YAL038W_2_CDS_S,I:72286-72410,P1D6,CDS,YAL038W,CDS-chrI-71787-73289-CDC19,"Pyruvate kinase, functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration"
chrI,72611,72720,110,+,P1,E6,YAL038W_7_CDS_S,I:72611-72720,P1E6,CDS,YAL038W,CDS-chrI-71787-73289-CDC19,"Pyruvate kinase, functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration"
chrII,428025,428152,128,-,P1,F6,YBR092C_3_CDS_S,II:428025-428152,P1F6,CDS,YBR092C,CDS-chrII-427692-429095-PHO3,"Constitutively expressed acid phosphatase similar to Pho5p; brought to the cell surface by transport vesicles; hydrolyzes thiamin phosphates in the periplasmic space, increasing cellular thiamin uptake; expression is repressed by thiamin"
chrXI,37523,37640,118,-,P1,G6,YKL211C_11_CDS_S,XI:37523-37640,P1G6,CDS,YKL211C,CDS-chrXI-36700-38154-TRP3,"Bifunctional enzyme exhibiting both indole-3-glycerol-phosphate synthase and anthranilate synthase activities, forms multifunctional hetero-oligomeric anthranilate synthase:indole-3-glycerol phosphate synthase enzyme complex with Trp2p"
chrIV,915808,915918,111,+,P1,H6,YDR225W_7_CDS_S,IV:915808-915918,P1H6,CDS,YDR225W,CDS-chrIV-915527-915925-HTA1,"Histone H2A, core histone protein required for chromatin assembly and chromosome function; one of two nearly identical subtypes (see also HTA2); DNA damage-dependent phosphorylation by Mec1p facilitates DNA repair; acetylated by Nat4p"
chrVII,254784,255302,519,+,P1,A7,YGL135W_0_UTR3_S,VII:254784-255302,P1A7,UTR3,YGL135W,CDS-chrVII-254646-255299-RPL1B,"N-terminally acetylated protein component of the large (60S) ribosomal subunit, nearly identical to Rpl1Ap and has similarity to E. coli L1 and rat L10a ribosomal proteins; rpl1a rpl1b double null mutation is lethal"
chrIII,94015,94130,116,-,P1,B7,YCL017C_8_CDS_S,III:94015-94130,P1B7,CDS,YCL017C,CDS-chrIII-92777-94270-NFS1,Cysteine desulfurase involved in iron-sulfur cluster (Fe/S) biogenesis; required for the post-transcriptional thio-modification of mitochondrial and cytoplasmic tRNAs; essential protein located predominantly in mitochondria
chrXIII,632394,632511,118,+,P1,C7,YMR186W_0_CDS_S,XIII:632394-632511,P1C7,CDS,YMR186W,CDS-chrXIII-632354-634471-HSC82,"Cytoplasmic chaperone of the Hsp90 family, redundant in function and nearly identical with Hsp82p, and together they are essential; expressed constitutively at 10-fold higher basal levels than HSP82 and induced 2-3 fold by heat shock"
chrXI,382579,382684,106,-,P1,D7,YKL029C_5_CDS_S,XI:382579-382684,P1D7,CDS,YKL029C,CDS-chrXI-382359-384368-MAE1,"Mitochondrial malic enzyme, catalyzes the oxidative decarboxylation of malate to pyruvate, which is a key intermediate in sugar metabolism and a precursor for synthesis of several amino acids"
chrX,464816,464944,129,-,P1,E7,YJR016C_5_CDS_S,X:464816-464944,P1E7,CDS,YJR016C,CDS-chrX-464443-466200-ILV3,"Dihydroxyacid dehydratase, catalyzes third step in the common pathway leading to biosynthesis of branched-chain amino acids"
chrI,106995,107114,120,-,P1,F7,YAL023C_4_CDS_S,I:106995-107114,P1F7,CDS,YAL023C,CDS-chrI-106273-108552-PMT2,"Protein O-mannosyltransferase, transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; acts in a complex with Pmt1p, can instead interact with Pmt5p in some conditions; target for new antifungals"
chrI,107688,107817,130,-,P1,G7,YAL023C_14_CDS_S,I:107688-107817,P1G7,CDS,YAL023C,CDS-chrI-106273-108552-PMT2,"Protein O-mannosyltransferase, transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; acts in a complex with Pmt1p, can instead interact with Pmt5p in some conditions; target for new antifungals"
chrXII,639708,639831,124,+,P1,H7,YLR249W_35_CDS_S,XII:639708-639831,P1H7,CDS,YLR249W,CDS-chrXII-636782-639916-YEF3,"Translational elongation factor 3, stimulates the binding of aminoacyl-tRNA (AA-tRNA) to ribosomes by releasing EF-1 alpha from the ribosomal complex; contains two ABC cassettes; binds and hydrolyses ATP"
chrXI,163820,163960,141,-,P1,A8,YKL152C_4_CDS_S,XI:163820-163960,P1A8,CDS,YKL152C,CDS-chrXI-163647-164390-GPM1,"Tetrameric phosphoglycerate mutase, mediates the conversion of 3-phosphoglycerate to 2-phosphoglycerate during glycolysis and the reverse reaction during gluconeogenesis"
chrXI,163865,163995,131,-,P1,B8,YKL152C_5_CDS_S,XI:163865-163995,P1B8,CDS,YKL152C,CDS-chrXI-163647-164390-GPM1,"Tetrameric phosphoglycerate mutase, mediates the conversion of 3-phosphoglycerate to 2-phosphoglycerate during glycolysis and the reverse reaction during gluconeogenesis"
chrVI,164510,164651,142,+,P1,C8,YFR009W_28_CDS_S,VI:164510-164651,P1C8,CDS,YFR009W,CDS-chrVI-162482-164740-GCN20,"Positive regulator of the Gcn2p kinase activity, forms a complex with Gcn1p; proposed to stimulate Gcn2p activation by an uncharged tRNA"
chrIII,119934,120069,136,-,P1,D8,YCR004C_6_CDS_S,III:119934-120069,P1D8,CDS,YCR004C,CDS-chrIII-119573-120316-YCP4,"Protein of unknown function, has sequence and structural similarity to flavodoxins; predicted to be palmitoylated; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
chrXV,1028304,1028450,147,-,P1,E8,YOR369C_3_CDS_S,XV:1028304-1028450,P1E8,CDS,YOR369C,CDS-chrXV-1028192-1028623-RPS12,Protein component of the small (40S) ribosomal subunit; has similarity to rat ribosomal protein S12
chrX,652145,652249,105,+,P1,F8,YJR123W_1_CDS_S,X:652145-652249,P1F8,CDS,YJR123W,CDS-chrX-651891-652568-RPS5,"Protein component of the small (40S) ribosomal subunit, the least basic of the non-acidic ribosomal proteins; phosphorylated in vivo; essential for viability; has similarity to E. coli S7 and rat S5 ribosomal proteins"
chrXI,243603,243741,139,-,P1,G8,YKL104C_10_CDS_S,XI:243603-243741,P1G8,CDS,YKL104C,CDS-chrXI-242864-245017-GFA1,"Glutamine-fructose-6-phosphate amidotransferase, catalyzes the formation of glucosamine-6-P and glutamate from fructose-6-P and glutamine in the first step of chitin biosynthesis"
chrXVI,350318,350428,111,-,P1,H8,YPL106C_0_CDS_S,XVI:350318-350428,P1H8,CDS,YPL106C,CDS-chrXVI-350191-352272-SSE1,ATPase that is a component of the heat shock protein Hsp90 chaperone complex; binds unfolded proteins; member of the heat shock protein 70 (HSP70) family; localized to the cytoplasm
chrXIII,56754,56873,120,+,P1,A9,YML106W_3_UTR5_S,XIII:56754-56873,P1A9,UTR5,YML106W,CDS-chrXIII-56773-57453-URA5,"Major orotate phosphoribosyltransferase (OPRTase) isozyme that catalyzes the fifth enzymatic step in de novo biosynthesis of pyrimidines, converting orotate into orotidine-5'-phosphate; minor OPRTase encoded by URA10"
chrXV,725011,725134,124,+,P1,B9,YOR203W_34_UTR3_S,XV:725011-725134,P1B9,UTR3,YOR203W,NA,NA
chrXV,725044,725180,137,+,P1,C9,YOR203W_35_UTR3_S,XV:725044-725180,P1C9,UTR3,YOR203W,NA,NA
chrXV,725135,725290,156,+,P1,D9,YOR203W_37_UTR3_S,XV:725135-725290,P1D9,UTR3,YOR203W,NA,NA
chrXV,725235,725382,148,+,P1,E9,YOR203W_39_UTR3_S,XV:725235-725382,P1E9,UTR3,YOR203W,NA,NA
chrXV,725280,725417,138,+,P1,F9,YOR203W_40_UTR3_S,XV:725280-725417,P1F9,UTR3,YOR203W,NA,NA
chrXV,725280,725417,138,+,P1,G9,YOR203W_41_UTR3_S,XV:725280-725417,P1G9,UTR3,YOR203W,NA,NA
chrXI,203219,203326,108,+,P1,H9,YKL127W_2_CDS_S,XI:203219-203326,P1H9,CDS,YKL127W,CDS-chrXI-203185-204897-PGM1,"Phosphoglucomutase, minor isoform; catalyzes the conversion from glucose-1-phosphate to glucose-6-phosphate, which is a key step in hexose metabolism"
chrIV,93146,93257,112,-,P1,A10,YDL205C_5_CDS_S,IV:93146-93257,P1A10,CDS,YDL205C,CDS-chrIV-92763-93746-HEM3,"Phorphobilinogen deaminase, catalyzes the conversion of 4-porphobilinogen to hydroxymethylbilane, the third step in the heme biosynthetic pathway; localizes to both the cytoplasm and nucleus; expression is regulated by Hap2p-Hap3p"
chrXI,429955,430061,107,-,P1,B10,YKL006C-A_3_UTR3_S,XI:429955-430061,P1B10,UTR3,YKL006C-A,CDS-chrXI-429841-430098-SFT1,"Intra-Golgi v-SNARE, required for transport of proteins between an early and a later Golgi compartment"
chrXI,429995,430100,106,-,P1,C10,YKL006C-A_4_UTR3_S,XI:429995-430100,P1C10,UTR3,YKL006C-A,CDS-chrXI-429841-430098-SFT1 // intron-chrXI-430099-430239-SFT1,"Intra-Golgi v-SNARE, required for transport of proteins between an early and a later Golgi compartment // Intra-Golgi v-SNARE, required for transport of proteins between an early and a later Golgi compartment"
chrXVI,429439,429551,113,-,P1,D10,YPL064C_7_CDS_S,XVI:429439-429551,P1D10,CDS,YPL064C,CDS-chrXVI-428708-429613-CWC27,"Component of a complex containing Cef1p, putatively involved in pre-mRNA splicing; has similarity to S. pombe Cwf27p"
chrXIV,94575,94693,119,+,P1,E10,YNL287W_26_CDS_S,XIV:94575-94693,P1E10,CDS,YNL287W,CDS-chrXIV-91994-94801-SEC21,"Gamma subunit of coatomer, a heptameric protein complex that together with Arf1p forms the COPI coat; involved in ER to Golgi transport of selective cargo"
chrXII,233933,234060,128,-,P1,F10,YLR044C_17_CDS_S,XII:233933-234060,P1F10,CDS,YLR044C,CDS-chrXII-232391-234082-PDC1,"Major of three pyruvate decarboxylase isozymes, key enzyme in alcoholic fermentation, decarboxylates pyruvate to acetaldehyde; subject to glucose-, ethanol-, and autoregulation; involved in amino acid catabolism"
chrX,381497,381623,127,+,P1,G10,YJL034W_2_CDS_S,X:381497-381623,P1G10,CDS,YJL034W,CDS-chrX-381321-383369-KAR2,"ATPase involved in protein import into the ER, also acts as a chaperone to mediate protein folding in the ER and may play a role in ER export of soluble proteins; regulates the unfolded protein response via interaction with Ire1p"
chrXIII,25497,25643,147,-,P1,H10,YML123C_8_CDS_S,XIII:25497-25643,P1H10,CDS,YML123C,CDS-chrXIII-24038-25801-PHO84,High-affinity inorganic phosphate (Pi) transporter and low-affinity manganese transporter; regulated by Pho4p and Spt7p; mutation confers resistance to arsenate; exit from the ER during maturation requires Pho86p
chrXIII,727175,727310,136,-,P1,A11,YMR229C_22_CDS_S,XIII:727175-727310,P1A11,CDS,YMR229C,CDS-chrXIII-725933-731122-RRP5,RNA binding protein with preference for single stranded tracts of U's involved in synthesis of both 18S and 5.8S rRNAs; component of both the ribosomal small subunit (SSU) processosome and the 90S preribosome
chrIV,997073,997224,152,-,P1,B11,YDR264C_18_CDS_S,IV:997073-997224,P1B11,CDS,YDR264C,CDS-chrIV-996026-998320-AKR1,Palmitoyl transferase involved in protein palmitoylation; acts as a negative regulator of pheromone response pathway; required for endocytosis of pheromone receptors; involved in cell shape control; contains ankyrin repeats
chrX,556067,556186,120,+,P1,C11,YJR064W_3_CDS_S,X:556067-556186,P1C11,CDS,YJR064W,CDS-chrX-555906-557594-CCT5,"Subunit of the cytosolic chaperonin Cct ring complex, related to Tcp1p, required for the assembly of actin and tubulins in vivo"
chrX,556108,556230,123,+,P1,D11,YJR064W_4_CDS_S,X:556108-556230,P1D11,CDS,YJR064W,CDS-chrX-555906-557594-CCT5,"Subunit of the cytosolic chaperonin Cct ring complex, related to Tcp1p, required for the assembly of actin and tubulins in vivo"
chrV,17034,17167,134,+,P1,E11,YEL071W_6_CDS_S,V:17034-17167,P1E11,CDS,YEL071W,CDS-chrV-16355-17845-DLD3,"D-lactate dehydrogenase, part of the retrograde regulon which consists of genes whose expression is stimulated by damage to mitochondria and reduced in cells grown with glutamate as the sole nitrogen source, located in the cytoplasm"
chrIV,509312,509447,136,+,P1,F11,YDR033W_9_UTR3_S,IV:509312-509447,P1F11,UTR3,YDR033W,NA,NA
chrXIV,413967,414086,120,+,P1,G11,YNL112W_2_UTR5_S,XIV:413967-414086,P1G11,UTR5,YNL112W,CDS-chrXIV-413641-414913-DBP2,"Essential ATP-dependent RNA helicase of the DEAD-box protein family, involved in nonsense-mediated mRNA decay and rRNA processing"
chrXIV,416108,416275,168,+,P1,H11,YNL112W_11_CDS_S,XIV:416108-416275,P1H11,CDS,YNL112W,CDS-chrXIV-415916-416283-DBP2,"Essential ATP-dependent RNA helicase of the DEAD-box protein family, involved in nonsense-mediated mRNA decay and rRNA processing"
chrIII,240955,241087,133,-,P1,A12,YCR072C_1_CDS_S,III:240955-241087,P1A12,CDS,YCR072C,CDS-chrIII-240801-242348-RSA4,"WD-repeat protein involved in ribosome biogenesis; may interact with ribosomes; required for maturation and efficient intra-nuclear transport or pre-60S ribosomal subunits, localizes to the nucleolus"
chrXIII,170797,170937,141,+,P1,B12,YML052W_4_CDS_S,XIII:170797-170937,P1B12,CDS,YML052W,CDS-chrXIII-170402-171310-SUR7,"Putative integral membrane protein; component of eisosomes; associated with endocytosis, along with Pil1p and Lsp1p; sporulation and plasma membrane sphingolipid content are altered in mutants"
chrXIII,170851,170992,142,+,P1,C12,YML052W_5_CDS_S,XIII:170851-170992,P1C12,CDS,YML052W,CDS-chrXIII-170402-171310-SUR7,"Putative integral membrane protein; component of eisosomes; associated with endocytosis, along with Pil1p and Lsp1p; sporulation and plasma membrane sphingolipid content are altered in mutants"
chrX,286533,286662,130,-,P1,D12,YJL080C_8_CDS_S,X:286533-286662,P1D12,CDS,YJL080C,CDS-chrX-285552-289220-SCP160,"Essential RNA-binding G protein effector of mating response pathway, mainly associated with nuclear envelope and ER, interacts in mRNA-dependent manner with translating ribosomes via multiple KH domains, similar to vertebrate vigilins"
chrXII,243352,243484,133,+,P1,E12,YLR048W_6_UTR3_S,XII:243352-243484,P1E12,UTR3,YLR048W,NA,NA
chrVII,93350,93467,118,+,P1,F12,YGL211W_13_CDS_S,VII:93350-93467,P1F12,CDS,YGL211W,CDS-chrVII-92516-93595-NCS6,"Protein required for thiolation of the uridine at the wobble position of Gln, Lys, and Glu tRNAs; has a role in urmylation and in invasive and pseudohyphal growth; inhibits replication of Brome mosaic virus in S. cerevisiae"
chrX,577361,577487,127,-,P1,G12,YJR077C_1_CDS_S,X:577361-577487,P1G12,CDS,YJR077C,CDS-chrX-577247-578182-MIR1,"Mitochondrial phosphate carrier, imports inorganic phosphate into mitochondria; functionally redundant with Pic2p but more abundant than Pic2p under normal conditions; phosphorylated"
chrXII,1031273,1031376,104,+,P1,H12,YLR449W_0_CDS_S,XII:1031273-1031376,P1H12,CDS,YLR449W,CDS-chrXII-1030830-1032008-FPR4,"Peptidyl-prolyl cis-trans isomerase (PPIase) (proline isomerase) localized to the nucleus; catalyzes isomerization of proline residues in histones H3 and H4, which affects lysine methylation of those histones"
chrIV,935283,935400,118,-,P2,A1,YDR236C_1_CDS_S,IV:935283-935400,P2A1,CDS,YDR236C,CDS-chrIV-935233-935889-FMN1,"Riboflavin kinase, phosphorylates riboflavin to form riboflavin monophosphate (FMN), which is a necessary cofactor for many enzymes; localizes to microsomes and to the mitochondrial inner membrane"
chrXII,673640,673771,132,+,P2,B1,YLR264W_11_UTR3_S,XII:673640-673771,P2B1,UTR3,YLR264W,NA,NA
