Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides YAL6Bproteome	Razor + unique peptides YAL6Bproteome	Unique peptides YAL6Bproteome	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Fraction 7	Fraction 8	Q-value	Score	Sequence coverage YAL6Bproteome [%]	Intensity	Intensity YAL6Bproteome	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__P08779	CON__P08779	8	3	2	>P08779 SWISS-PROT:P08779 Tax_Id=9606 Gene_Symbol=KRT16 Keratin, type I cytoskeletal 16	1	8	3	2	8	3	2	19	7.2	5.5	51.267	473	473	4	2					1		1	0.00032755	4.1875	19	222790000	222790000	4			+	10	1625;4142;4530;11917;19182;25692;28446;28771	False;False;True;True;True;False;False;False	1736;4356;4756;12459;20193;27003;29906;30240;30241	5249;5250;5251;11804;11805;12874;33558;33559;53165;70721;70722;70723;70724;70725;70726;70727;78778;79780;79781;79782;79783;79784;79785;79786;79787;79788;79789;79790;79791;79792	6094;6095;6096;6097;13490;13491;13492;14680;38397;38398;60332;80029;80030;80031;80032;80033;80034;80035;89218;89219;90422;90423;90424;90425;90426;90427;90428;90429;90430;90431;90432;90433;90434;90435;90436	6096;13491;14680;38397;60332;80030;89218;90423	3	121
CON__P12035;CON__Q01546;CON__Q3SY84;CON__Q7RTS7;CON__Q32MB2	CON__P12035;CON__Q01546	9;6;2;2;2	1;0;1;1;1	0;0;0;0;0	>P12035 SWISS-PROT:P12035 Tax_Id=9606 Gene_Symbol=KRT3 Keratin, type II cytoskeletal 3;>Q01546 SWISS-PROT:Q01546 Tax_Id=9606 Gene_Symbol=KRT76 Keratin, type II cytoskeletal 2 oral	5	9	1	0	9	1	0	10.7	1.6	0	64.503	629	629;638;523;529;540	8								1	0.00064704	3.8609	10.7	29087000	29087000	1			+	11	275;1398;6617;13786;13946;22192;22193;28478;29521	True;False;False;False;False;False;False;False;False	298;1500;6925;14389;14557;23334;23335;29938;31040	924;4476;4477;4478;4479;4480;4481;4482;4483;4484;4485;4486;4487;18566;18567;18568;18569;18570;18571;18572;38715;38716;38717;38718;39182;39183;60884;60885;60886;60887;60888;78887;78888;78889;78890;82219;82220;82221;82222;82223	1240;5221;5222;5223;5224;5225;5226;5227;5228;5229;5230;5231;5232;21175;21176;21177;21178;21179;21180;21181;21182;21183;21184;44248;44249;44250;44251;44745;44746;68844;68845;68846;68847;68848;68849;89352;89353;89354;89355;89356;89357;93275;93276;93277;93278;93279	1240;5229;21182;44251;44746;68847;68849;89354;93279		
CON__P13645;CON__Q7Z3Y7;CON__P08730-1;CON__Q7Z3Y8;CON__Q2M2I5;CON__P02535-1	CON__P13645	11;2;1;1;1;1	11;2;1;1;1;1	9;1;0;0;0;1	>P13645 SWISS-PROT:P13645 Tax_Id=9606 Gene_Symbol=KRT10 Keratin, type I cytoskeletal 10	6	11	11	9	11	11	9	28.7	28.7	24.8	59.51	593	593;486;437;459;525;570	4.97	10	5	5	8	5	8	15	11	0	323.31	28.7	10217000000	10217000000	77			+	12	218;2341;5425;9668;18383;19086;22858;24497;24889;28448;28771	True;True;True;True;True;True;True;True;True;True;True	235;2484;5682;10127;19356;20096;24027;25741;26155;29908;30240;30241	733;7362;7363;7364;7365;15309;15310;15311;15312;15313;27505;27506;27507;27508;27509;27510;27511;27512;27513;27514;27515;27516;27517;51107;52930;52931;52932;52933;52934;52935;52936;62733;62734;67092;68242;68243;68244;68245;78781;78782;78783;78784;78785;78786;78787;78788;78789;78790;78791;78792;78793;78794;78795;78796;79780;79781;79782;79783;79784;79785;79786;79787;79788;79789;79790;79791;79792	991;8549;8550;8551;8552;8553;8554;17435;17436;17437;17438;17439;17440;31582;31583;31584;31585;31586;31587;31588;31589;31590;31591;31592;31593;31594;57983;60084;60085;60086;60087;60088;60089;60090;70957;70958;75885;77192;77193;77194;77195;77196;89226;89227;89228;89229;89230;89231;89232;89233;89234;89235;89236;89237;89238;89239;89240;89241;89242;89243;89244;89245;89246;89247;90422;90423;90424;90425;90426;90427;90428;90429;90430;90431;90432;90433;90434;90435;90436	991;8552;17439;31582;57983;60090;70957;75885;77195;89240;90423	3;12	150;271
CON__P13647;CON__Q5XQN5;CON__Q922U2	CON__P13647;CON__Q5XQN5;CON__Q922U2	14;11;9	5;4;2	5;4;2	>P13647 SWISS-PROT:P13647 Tax_Id=9606 Gene_Symbol=KRT5 Keratin, type II cytoskeletal 5;>Q5XQN5 SWISS-PROT:Q5XQN5 (Bos taurus) Keratin, type II cytoskeletal 5;>Q922U2 SWISS-PROT:Q922U2 Tax_Id=10090 Gene_Symbol=Krt5 Keratin, type II cytoskeletal 5	3	14	5	5	14	5	5	21.2	10.7	10.7	62.378	590	590;601;580	6.68	3					2	4	13	0	22.945	21.2	728140000	728140000	23			+	13	3919;6617;7867;12768;13897;13946;18596;22263;27164;27917;28478;29286;29521;29535	False;False;True;False;True;False;False;True;True;False;False;False;False;True	4120;4121;6925;8226;13342;14505;14557;19577;23406;23407;28562;28563;28564;29355;29938;30792;31040;31054	11161;11162;11163;11164;18566;18567;18568;18569;18570;18571;18572;22009;22010;36184;39029;39030;39031;39032;39182;39183;51645;51646;51647;61065;61066;61067;61068;61069;61070;61071;61072;75015;75016;75017;75018;75019;77184;78887;78888;78889;78890;81462;81463;81464;82219;82220;82221;82222;82223;82274;82275;82276	12701;12702;12703;12704;12705;21175;21176;21177;21178;21179;21180;21181;21182;21183;21184;25029;25030;41447;44585;44586;44587;44588;44589;44745;44746;58580;58581;58582;69064;69065;69066;69067;69068;69069;69070;69071;84808;84809;84810;84811;84812;87378;89352;89353;89354;89355;89356;89357;92407;92408;92409;92410;93275;93276;93277;93278;93279;93334;93335;93336	12701;21182;25029;41447;44585;44746;58580;69067;84811;87378;89354;92407;93279;93336	6;13;14;15	274;284;297;303
CON__P15636	CON__P15636	1	1	1	>P15636 SWISS-PROT:P15636 Protease I precursor Lysyl endopeptidase Achromobacter lyticus.	1	1	1	1	1	1	1	2.9	2.9	2.9	68.124	653	653	4.5	2	2	2	2	2	2	2	2	0	157.23	2.9	13201000000	13201000000	23			+	14	23181	True	24370	63576;63577;63578;63579;63580;63581;63582;63583;63584;63585;63586;63587;63588;63589;63590;63591	71861;71862;71863;71864;71865;71866;71867;71868;71869;71870;71871;71872;71873;71874;71875;71876;71877;71878;71879;71880;71881;71882;71883	71878		
CON__P19013	CON__P19013	9	7	6	>P19013 SWISS-PROT:P19013 Tax_Id=9606 Gene_Symbol=KRT4 keratin 4	1	9	7	6	9	7	6	15	12.1	10.6	63.91	594	594	8								8	0	16.453	15	114520000	114520000	8			+	15	275;3918;6617;20199;25847;26111;27247;28384;29227	False;True;False;True;True;True;True;True;True	298;4119;6925;21264;27166;27447;27448;28650;29843;30730	924;11160;18566;18567;18568;18569;18570;18571;18572;55663;71173;71901;71902;75277;78562;81333	1240;12700;21175;21176;21177;21178;21179;21180;21181;21182;21183;21184;63046;80515;81311;81312;85152;88957;92272	1240;12700;21182;63046;80515;81311;85152;88957;92272	16	290
CON__P20930	CON__P20930	5	5	5	>P20930 SWISS-PROT:P20930 Tax_Id=9606 Gene_Symbol=FLG Filaggrin	1	5	5	5	5	5	5	1	1	1	435.16	4061	4061	8								6	0	6.8003	1	474710000	474710000	8			+	16	4707;5582;13998;19368;24036	True;True;True;True;True	4937;5855;14613;20385;25265	13369;15710;15711;39294;53557;65979	15249;15250;17858;17859;17860;44860;60742;74646	15250;17859;44860;60742;74646		
CON__P35527	CON__P35527	14	14	14	>P35527 SWISS-PROT:P35527 Tax_Id=9606 Gene_Symbol=KRT9 Keratin, type I cytoskeletal 9	1	14	14	14	14	14	14	26.8	26.8	26.8	62.129	623	623	4.76	19	4	6	2	3	13	13	15	0	315.21	26.8	14116000000	14116000000	81			+	17	3519;4935;6373;8828;11811;11812;12967;19670;22741;22742;24673;25948;25970;28370	True;True;True;True;True;True;True;True;True;True;True;True;True;True	3710;5177;6674;9232;12350;12351;13549;20705;23904;23905;23906;25923;25924;27270;27271;27294;27295;29829	10225;10226;10227;10228;14077;14078;14079;17820;17821;17822;17823;17824;24678;24679;33339;33340;33341;33342;33343;33344;33345;33346;33347;36690;36691;36692;36693;36694;36695;36696;36697;54378;54379;54380;54381;54382;62416;62417;62418;62419;67558;67559;67560;67561;67562;67563;67564;67565;67566;71432;71433;71434;71435;71436;71474;71475;71476;71477;71478;71479;71480;71481;71482;71483;71484;71485;71486;71487;71488;78530;78531;78532;78533;78534;78535	11690;11691;11692;11693;11694;11695;16090;16091;16092;16093;20253;20254;20255;20256;20257;27953;27954;38168;38169;38170;38171;38172;38173;38174;38175;38176;38177;42028;42029;42030;42031;42032;42033;42034;42035;42036;61667;61668;61669;61670;61671;70602;70603;70604;70605;76401;76402;76403;76404;76405;76406;76407;76408;76409;80804;80805;80806;80807;80808;80847;80848;80849;80850;80851;80852;80853;80854;80855;80856;80857;80858;80859;80860;80861;88924;88925;88926;88927;88928;88929;88930	11690;16090;20256;27953;38173;38177;42031;61671;70603;70604;76407;80808;80859;88924	17;18;19;20;21	157;234;276;286;326
CON__P35908;CON__Q3TTY5;CON__Q6NXH9	CON__P35908	22;4;2	22;4;2	15;1;0	>P35908 SWISS-PROT:P35908 Tax_Id=9606 Gene_Symbol=KRT2 Keratin, type II cytoskeletal 2 epidermal	3	22	22	15	22	22	15	38.4	38.4	29.1	65.865	645	645;707;539	5.29	13	8	10	13	11	19	27	24	0	246.25	38.4	19041000000	19041000000	134			+	18	1398;1467;3931;4395;4463;6617;8383;10612;12772;13786;13946;15630;19546;22190;22191;22455;22679;27208;27223;28479;29521;29538	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1500;1573;4134;4135;4616;4688;6925;8763;11110;13346;13347;14389;14557;16327;20574;23332;23333;23604;23605;23839;28608;28624;29939;31040;31057	4476;4477;4478;4479;4480;4481;4482;4483;4484;4485;4486;4487;4704;4705;4706;4707;4708;4709;4710;4711;4712;4713;4714;4715;4716;4717;11214;11215;11216;11217;12534;12535;12536;12537;12538;12707;12708;12709;12710;12711;12712;12713;12714;18566;18567;18568;18569;18570;18571;18572;23398;23399;23400;23401;23402;23403;23404;30205;30206;30207;36196;36197;36198;38715;38716;38717;38718;39182;39183;43709;43710;43711;43712;43713;43714;54066;54067;54068;54069;54070;54071;54072;54073;60874;60875;60876;60877;60878;60879;60880;60881;60882;60883;61558;61559;62262;62263;62264;62265;75125;75126;75127;75128;75129;75178;78891;78892;78893;78894;78895;78896;78897;78898;78899;78900;78901;82219;82220;82221;82222;82223;82279;82280;82281;82282	5221;5222;5223;5224;5225;5226;5227;5228;5229;5230;5231;5232;5480;5481;5482;5483;5484;5485;5486;5487;5488;5489;5490;5491;5492;5493;12756;12757;12758;12759;12760;14312;14313;14314;14315;14316;14499;14500;14501;14502;14503;14504;14505;14506;14507;21175;21176;21177;21178;21179;21180;21181;21182;21183;21184;26520;26521;26522;26523;26524;26525;26526;34737;34738;34739;41459;41460;41461;44248;44249;44250;44251;44745;44746;49722;49723;49724;49725;49726;49727;61338;61339;61340;61341;61342;61343;61344;61345;68834;68835;68836;68837;68838;68839;68840;68841;68842;68843;69605;69606;70436;70437;70438;70439;84929;84930;84931;84932;84933;84934;84935;84988;84989;89358;89359;89360;89361;89362;89363;89364;89365;89366;89367;89368;89369;89370;89371;93275;93276;93277;93278;93279;93339;93340;93341;93342	5229;5488;12758;14312;14499;21182;26522;34739;41459;44251;44746;49727;61338;68835;68839;69606;70437;84935;84988;89365;93279;93341	22;23	263;300
CON__Q04695;CON__Q9QWL7	CON__Q04695;CON__Q9QWL7	6;5	4;3	4;3	>Q04695 SWISS-PROT:Q04695 Tax_Id=9606 Gene_Symbol=KRT17 Keratin, type I cytoskeletal 17;>Q9QWL7 SWISS-PROT:Q9QWL7 Tax_Id=10090 Gene_Symbol=Krt17 Keratin, type I cytoskeletal 17	2	6	4	4	6	4	4	18.5	12.3	12.3	48.105	432	432;433	8								6	0	56.717	18.5	1800300000	1800300000	11			+	19	1767;2342;4529;25323;26717;28447	True;True;False;False;True;True	1887;2485;4755;26611;28088;29907	5652;5653;7366;12873;69522;69523;69524;73570;78779;78780	6538;6539;8555;14679;78608;78609;78610;83167;83168;89220;89221;89222;89223;89224;89225	6538;8555;14679;78610;83168;89220	24	88
CON__Q5D862	CON__Q5D862	2	2	2	>Q5D862 SWISS-PROT:Q5D862 Tax_Id=9606 Gene_Symbol=FLG2 Filaggrin-2	1	2	2	2	2	2	2	0.7	0.7	0.7	248.07	2391	2391	7.33						1		2	0.00091269	2.6415	0.7	164340000	164340000	3			+	20	5233;19820	True;True	5483;20867	14857;14858;54731	16948;16949;62036	16949;62036		
CON__Q5XKE5;CON__Q8VED5	CON__Q5XKE5	13;5	8;1	8;1	>Q5XKE5 SWISS-PROT:Q5XKE5 Tax_Id=9606 Gene_Symbol=KRT79 Keratin, type II cytoskeletal 79	2	13	8	8	13	8	8	20.9	14	14	57.809	535	535;531	8								10	0	28.323	20.9	344360000	344360000	12			+	21	6617;8336;8374;10087;10088;13222;13946;14674;17669;18596;28478;29521;29536	False;True;True;True;True;True;False;True;True;False;False;False;True	6925;8714;8754;10569;10570;13808;14557;15311;18574;19577;29938;31040;31055	18566;18567;18568;18569;18570;18571;18572;23275;23380;23381;28739;28740;28741;37324;39182;39183;40984;49286;51645;51646;51647;78887;78888;78889;78890;82219;82220;82221;82222;82223;82277	21175;21176;21177;21178;21179;21180;21181;21182;21183;21184;26385;26497;26498;26499;26500;33010;33011;33012;42715;44745;44746;46723;56010;58580;58581;58582;89352;89353;89354;89355;89356;89357;93275;93276;93277;93278;93279;93337	21182;26385;26499;33010;33012;42715;44746;46723;56010;58580;89354;93279;93337		
CON__Q6KB66-1	CON__Q6KB66-1	5	5	5	>Q6KB66-1 SWISS-PROT:Q6KB66-1 Tax_Id=9606 Gene_Symbol=KRT80 Isoform 1 of Keratin, type II cytoskeletal 80	1	5	5	5	5	5	5	13.1	13.1	13.1	50.525	452	452	7.5					1			5	0	16.196	13.1	112330000	112330000	6			+	22	14003;14264;25038;25056;28832	True;True;True;True;True	14618;14888;26310;26331;30311	39300;39301;39970;68644;68708;79989	44866;44867;45591;77639;77705;90660	44867;45591;77639;77705;90660		
CON__Q7Z794	CON__Q7Z794	6	3	2	>Q7Z794 SWISS-PROT:Q7Z794 Tax_Id=9606 Gene_Symbol=KRT77 Keratin 77	1	6	3	2	6	3	2	10.2	5.4	3.6	61.802	578	578	8								4	0.00064164	3.7072	10.2	37483000	37483000	3			+	23	2565;3920;6617;22213;28479;29521	True;True;False;True;False;False	2715;4122;6925;23355;29939;31040	7871;11165;18566;18567;18568;18569;18570;18571;18572;60925;60926;78891;78892;78893;78894;78895;78896;78897;78898;78899;78900;78901;82219;82220;82221;82222;82223	9091;12706;21175;21176;21177;21178;21179;21180;21181;21182;21183;21184;68886;68887;89358;89359;89360;89361;89362;89363;89364;89365;89366;89367;89368;89369;89370;89371;93275;93276;93277;93278;93279	9091;12706;21182;68887;89365;93279		
CON__Q9C075	CON__Q9C075	2	2	2	>Q9C075 SWISS-PROT:Q9C075 Tax_Id=9606 Gene_Symbol=KRT23 Keratin, type I cytoskeletal 23	1	2	2	2	2	2	2	4.3	4.3	4.3	48.131	422	422	8								2	0.0029429	2.1111	4.3	15478000	15478000	2			+	24	14512;27251	True;True	15143;28655	40527;75289	46202;85164	46202;85164		
CON__Streptavidin	CON__Streptavidin	1	1	1	>Streptavidin (S.avidinii)	1	1	1	1	1	1	1	6.9	6.9	6.9	16.622	160	160	8								2	0	6.0516	6.9	121560000	121560000	2			+	25	24668	True	25916	67538;67539	76381;76382	76382		
